CatalogTypeName,CatalogBrandName,Description,Name,Price,PictureFileName,availablestock,onreorder
Sports Car,Velocari,Velocari Strada SV plug-in hybrid supercar with 1000 cv,Velocari Strada SV,507000,1.png,100,false
Sports Car,Velocari,Velocari Tipo 6 with 663 cv V6 hybrid powertrain,Velocari Tipo 6,320000,2.png,89,true
GT,Velocari,Velocari Aurora GT front-engined V8 grand tourer,Velocari Aurora GT,222000,3.png,56,false
SUV,Velocari,Velocari Terra X four-door four-seater V12,Velocari Terra X,390000,4.png,120,false
Sports Car,Toranti,Toranti Furente V12 hybrid flagship,Toranti Furente,517000,5.png,55,false
SUV,Toranti,Toranti Monte S super SUV,Toranti Monte S,260000,6.png,17,false
Sports Car,Nordwerk,Nordwerk RS9 track-focused flat-six,Nordwerk RS9,241000,7.png,8,false
SUV,Nordwerk,Nordwerk Terra Turbo performance SUV,Nordwerk Terra Turbo,198000,8.png,34,false
Sports Car,Aurelia,Aurelia Nettare S with twin-turbo V6 and carbon tub,Aurelia Nettare S,240000,9.png,76,false
GT,Aurelia,Aurelia Granluce V6 grand tourer,Aurelia Granluce,175000,10.png,11,false
Spare Part,Other,Carbon ceramic brake kit for track use,Carbon Ceramic Brake Kit,12500,11.png,3,false
Spare Part,Other,Forged alloy wheel set 20/21 inch staggered,Forged Alloy Wheel Set,8900,12.png,0,false
